gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
TNFRSF13C,1766,0.001500412,5.15464268686531e-4,863,0.023121387,0.0209537572254335,FALSE
MIR663AHG,1721,0.0017050374,5.154556106575042e-4,864,0.028179191,0.0267341040462427,FALSE
DNAI1,742,0.013906856,5.14523562388554e-4,865,0.33381504,0.1813583815028902,FALSE
PAX2,1995,9.1176276e-4,5.137757560607143e-4,866,0.009393063,0.0079479768786127,FALSE
LCMT1-AS1,1761,0.0015152204,5.134759947924436e-4,867,0.023843931,0.0231213872832369,FALSE
KCNQ4,1848,0.0012770955,5.115406945415804e-4,868,0.018063584,0.0166184971098265,FALSE
MARVELD2,1820,0.0013682082,5.113582561030425e-4,869,0.020231213,0.01878612716763,FALSE
MSX1,1468,0.003158424,5.11178525189031e-4,870,0.058526013,0.0339595375722543,FALSE
LRRC4C,92,0.07232863,5.108044345255063e-4,871,3.449422,0.6893063583815029,FALSE
LRMDA,1256,0.0048244516,5.102412179090098e-4,872,0.09609827,0.051300578034682,FALSE
CA1,1559,0.002486379,5.075195191025535e-4,873,0.04552023,0.0361271676300578,FALSE
PHYHIP,1888,0.0011661771,5.056328474431709e-4,874,0.015895953,0.0158959537572254,FALSE
NHERF1,1143,0.006018255,5.027809751656991e-4,875,0.13294798,0.1083815028901734,FALSE
PDZD7,1812,0.0013900057,5.027765838374326e-4,876,0.020953758,0.0195086705202312,FALSE
FOXA2,2074,7.94447e-4,5.024314173780999e-4,877,0.0072254334,0.0072254335260115,FALSE
SLC25A41,1920,0.0010772487,5.01737197999479e-4,878,0.013728323,0.0130057803468208,FALSE
LINC00581,1986,9.288879e-4,5.001233715135493e-4,879,0.010115607,0.0086705202312138,FALSE
CLDN5,1512,0.002848444,4.994847870137057e-4,880,0.05346821,0.0390173410404624,FALSE
GNG8,2080,7.8856014e-4,4.965445573780998e-4,881,0.0072254334,0.0072254335260115,FALSE
PITPNA-AS1,1487,0.0030330846,4.962605658387903e-4,882,0.059971098,0.0534682080924855,FALSE
TC2N,1205,0.0053397184,4.946767078323927e-4,883,0.109104045,0.0606936416184971,FALSE
TAL2,2116,7.2480284e-4,4.945846368778359e-4,884,0.0057803467,0.0057803468208092,FALSE
PAX5,2040,8.368264e-4,4.937361578102221e-4,885,0.007947977,0.0057803468208092,FALSE
DYNC1I1,1153,0.005947548,4.920478177032637e-4,886,0.13078035,0.1040462427745664,FALSE
PIGZ,1984,9.3797914e-4,4.919415960595238e-4,887,0.01083815,0.0108381502890173,FALSE
ZNF517,1838,0.0013113167,4.916108865281142e-4,888,0.019508671000000002,0.01878612716763,FALSE
