gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
DPP6,169,0.051711872,1.9183526,0.6221098265895953
SLC8A1,170,0.051707868,2.4580925,0.5498554913294798
LRRC3B,171,0.051700715,2.3605492,0.5498554913294798
SAMD4A,172,0.051540572,2.3367052,0.5325144508670521
PTPRK,173,0.051484153,1.8208092,0.5997109826589595
CACNA2D1,174,0.05133353,1.6791908,0.5736994219653179
LRIG1-1,175,0.05114011,1.1278902,0.4609826589595375
PTPRT,176,0.051017556,1.6351156,0.4197976878612717
NEGR1,177,0.050998513,1.9848266,0.5888728323699421
TMEM108,178,0.050852545,2.2745664,0.583092485549133
RGS20,179,0.05067847,1.3988439,0.4971098265895953
FSTL5,180,0.050671913,1.9920521,0.588150289017341
ADAMTS6,181,0.05063637,1.9689306,0.6206647398843931
ANKFN1,182,0.05057951,1.6278902,0.5910404624277457
DTNA,183,0.050466873,1.9552023,0.6799132947976878
FABP5P1,184,0.050436396,2.2622833,0.4566473988439306
PRKD1,185,0.05027641,2.7131503,0.6676300578034682
CD81,186,0.05025614,1.9812139,0.5057803468208093
ZIC1,187,0.050097078,0.8215318,0.2839595375722543
GRAMD1B,188,0.050065365,1.5187861,0.5317919075144508
MOXD1,189,0.050006647,1.4552023,0.3359826589595375
IGFBP2,190,0.04995776,1.8287572,0.5
PDE4B,191,0.049803462,3.3395953,0.7839595375722543
LRP1B,192,0.049394265,2.04263,0.5202312138728323
SYT1,193,0.049318478,2.0187862,0.6495664739884393
FOXG1,194,0.04927133,1.2839595,0.4010115606936416
ZFPM2,195,0.049057595,1.783237,0.625
RMST,196,0.048580114,1.8135839,0.3670520231213873
KCNMA1,197,0.048468743,1.174133,0.4284682080924855
CCNI,198,0.04845456,1.6842486,0.6148843930635838
CST3,199,0.04842178,7.944364,0.4783236994219653
MIR924HG,200,0.048371248,1.8807803,0.3439306358381503
MAML2,201,0.048295226,2.4768786,0.6589595375722543
PSD3,202,0.04803963,2.3591042,0.6958092485549133
ADGRL3,203,0.047981974,2.375,0.6770231213872833
NAV2,204,0.047928274,1.4566474,0.5332369942196532
MEG3,205,0.04776947,1.373555,0.3930635838150289
DIAPH3,206,0.047696173,1.6372832,0.3540462427745665
SDK1,207,0.04763769,2.6445086,0.6885838150289018
TENM2,208,0.0473598,1.6322254,0.4776011560693641
SOS1-1,209,0.047150902,1.1271676,0.4696531791907514
GLIS3,210,0.04707925,1.2442197,0.3807803468208092
ATXN1,211,0.046933267,1.5715318,0.6083815028901735
TMEM161B-DT,212,0.04678947,3.2398844,0.7528901734104047
ADCY2,213,0.046392914,1.2384393,0.5043352601156069
GRIA4,214,0.04622215,1.1539017,0.4544797687861271
SFRP1,215,0.046221558,1.8684971,0.4530346820809248
RUNX1T1,216,0.046191096,1.0700867,0.4812138728323699
DPP10,217,0.046008572,2.1921966,0.4920520231213873
NTRK3,218,0.045989435,1.8294798,0.6076589595375722
MEIS1,219,0.045868542,1.449422,0.5238439306358381
KALRN,220,0.045797758,1.857659,0.6770231213872833
JUN,221,0.0457031,2.5303469,0.4270231213872832
XYLT1,222,0.045371942,1.783237,0.5867052023121387
DYNLL1-1,223,0.045261536,2.1105492,0.5823699421965318
CNTNAP2,224,0.045111693,2.5036128,0.3908959537572254
TLE4,225,0.04506895,1.9342486,0.5426300578034682
KIF26B,226,0.044667687,2.259393,0.4927745664739884
SMOC1,227,0.044625174,1.0946531,0.3439306358381503
PTGES3,228,0.044459306,2.1040463,0.5578034682080925
RAD51B,229,0.0443835,2.3251445,0.625
CDK14,230,0.044252466,1.9631503,0.7283236994219653
PDGFD,231,0.04422835,2.916185,0.4385838150289017
FGFR3,232,0.044173997,0.65751445,0.2897398843930636
RFTN2,233,0.04412391,1.158237,0.5079479768786127
CSMD3,234,0.043949947,1.3063583,0.5043352601156069
PDE3A,235,0.04352262,1.3453758,0.4833815028901734
TTC3,236,0.043465633,2.5281792,0.7897398843930635
PRDM16,237,0.043284625,1.4624277,0.4523121387283237
NBEA,238,0.04316471,2.4299133,0.773121387283237
BOC,239,0.043121614,1.5867052,0.6054913294797688
EGFR,240,0.04283027,0.9306358,0.3554913294797688
PLCB1,241,0.04277672,3.2536128,0.6553468208092486
KIRREL3,242,0.042759124,1.0960983,0.3988439306358382
CACHD1,243,0.042629156,1.8901734,0.6394508670520231
NEBL-1,244,0.04227537,0.5115607,0.2254335260115607
SEL1L3,245,0.04215967,1.5050578,0.4328034682080925
TENM4,246,0.042148437,2.2854047,0.6293352601156069
SEZ6L,247,0.042135153,1.4949422,0.416907514450867
PRKCA,248,0.042068932,1.8504335,0.5751445086705202
WWOX,249,0.041998085,3.6705203,0.7290462427745664
DDX11,250,0.041940663,1.1799133,0.5476878612716763
AGBL4,251,0.041808695,1.166185,0.4263005780346821
SLC4A4,252,0.041751727,0.91618496,0.3973988439306358
TANC2,253,0.041606292,2.549133,0.630057803468208
PLXDC2,254,0.041574545,1.5231214,0.5072254335260116
CCSER1,255,0.041533887,1.033237,0.4039017341040462
LUZP2,256,0.041530933,1.484104,0.384393063583815
FGFR2,257,0.04150263,1.4804913,0.4530346820809248
BCL2,258,0.041330587,1.416185,0.5671965317919075
MMS22L,259,0.04127467,1.5989884,0.4407514450867052
CDC42,260,0.041196615,0.9053468,0.4335260115606936
TPI1,261,0.04103559,1.1336706,0.328757225433526
PKM,262,0.04094061,1.0354047,0.4125722543352601
CTNNA3,263,0.040893517,1.8468208,0.5549132947976878
LINC01473,264,0.040759683,1.8135839,0.6033236994219653
MDGA2,265,0.040554978,1.341763,0.4161849710982659
CNN3,266,0.040414862,1.9660405,0.559971098265896
IL1RAPL1,267,0.040173586,1.9190751,0.5195086705202312
EPHA3,268,0.04016063,0.7976879,0.3432080924855491
SATB2,269,0.039871037,0.72615606,0.3157514450867052
LDB2-1,270,0.03985556,1.2095376,0.4205202312138728
SLCO1C1,271,0.039811835,0.7160405,0.2861271676300578
PLPP3,272,0.039716143,1.1517341,0.4732658959537572
SLC44A5,273,0.039326955,1.6221098,0.6033236994219653
LRRTM3,274,0.03916655,1.4776012,0.4393063583815029
PAX3,275,0.039123155,0.61777455,0.2333815028901734
RFX4,276,0.03907756,1.4934971,0.5874277456647399
NALF1,277,0.038983457,2.224711,0.5101156069364162
SPON1,278,0.038979247,0.6596821,0.2276011560693641
NOVA1,279,0.038870003,2.2550578,0.7203757225433526
HDAC9,280,0.038855635,2.740607,0.5527456647398844
ZEB2,281,0.038746998,1.2731214,0.5671965317919075
NUCKS1,282,0.03861834,1.2572254,0.4992774566473988
H1-10,283,0.038577054,1.1950867,0.4385838150289017
CADM1,284,0.038560335,2.1625721,0.6546242774566474
PALLD,285,0.038411412,2.5447977,0.6278901734104047
CA12,286,0.038238,0.7398844,0.3916184971098266
HES4,287,0.03815837,1.2767341,0.505057803468208
GRM3,288,0.038130816,1.2384393,0.5021676300578035
MOB3B,289,0.03810704,1.308526,0.39378612716763
RGS7,290,0.03810078,1.7348266,0.5223988439306358
EDNRB,291,0.0380862,0.7153179,0.2810693641618497
BASP1-AS1,292,0.037687764,1.7796242,0.536849710982659
FRY,293,0.03757795,1.4421965,0.6040462427745664
THSD7A,294,0.037551112,1.5267341,0.559971098265896
CARMIL1,295,0.037450094,1.0968208,0.4790462427745665
SQLE,296,0.037283808,1.1972543,0.4913294797687861
COL4A5,297,0.037261594,1.4790462,0.4884393063583815
MYO16,298,0.03725489,0.90245664,0.3562138728323699
ESRRG,299,0.03721349,1.2767341,0.4645953757225433
GABRB1,300,0.037065506,1.0982659,0.3829479768786127
BRINP3,301,0.0370473,0.9234104,0.4017341040462427
ZNF804A,302,0.037042104,1.6871387,0.5079479768786127
PCDH11X,303,0.0370307,1.9877168,0.416907514450867
BACH2,304,0.036897276,1.7940751,0.6423410404624278
BMPR1B,305,0.036792744,1.5946531,0.5809248554913294
LINC01748,306,0.03677059,0.7976879,0.3562138728323699
GULP1,307,0.036701273,2.2369943,0.6502890173410405
FGFBP3,308,0.036445368,0.882948,0.39378612716763
NOTCH2,309,0.036346782,1.3742775,0.5289017341040463
EEF1D,310,0.03628414,1.2463872,0.444364161849711
NELL2,311,0.03627705,1.109104,0.5614161849710982
LDLRAD4,312,0.036252137,1.6604047,0.5578034682080925
SPATA13,313,0.036004677,1.5419075,0.5780346820809249
PREX2,314,0.035986472,1.7095376,0.4544797687861271
DELEC1,315,0.03598446,0.88945085,0.3482658959537572
SEMA6D,316,0.035890877,1.2290462,0.4884393063583815
MACROD2,317,0.035785846,2.2326589,0.615606936416185
STK33,318,0.035785776,1.1127168,0.5036127167630058
LHFPL6,319,0.035691373,1.1849711,0.4465317919075144
SIPA1L1,320,0.03566973,2.057081,0.5802023121387283
ELP4,321,0.035633713,1.7969654,0.5917630057803468
HES1,322,0.035590783,1.1690751,0.4212427745664739
GRM7,323,0.03555984,0.75939304,0.3070809248554913
EPB41L4A,324,0.035559576,1.2196531,0.4776011560693641
GLI2,325,0.035511468,1.0187861,0.4429190751445087
NPM1,326,0.03548676,1.324422,0.4559248554913295
DDAH1,327,0.035139684,1.5368497,0.5195086705202312
NREP,328,0.034993052,1.1206647,0.5375722543352601
