gene,ko_l2_mean_70d,ko_l2_mean_115d
PLCL1,0.0017492175,0.008088732
TSPAN19,0.0017471155,0.0013039293
SAMD10,0.0017468994,0.0013540349
NEFM,0.0017335393,0.005215517
APPAT,0.0017332648,0.009219827
LINC02232,0.0017323238,0.0030948392
FAM222A-AS1,0.0017283492,0.00084925187
IQCJ,0.001725731,0.0015031416
CGAS,0.0017232861,0.0008764502
APOA1,0.0017208529,0.00014737064
SST,0.0017198991,0.00066826417
FHIP1A,0.0017196418,0.003632759
CA1,0.0017161868,0.002486379
GRIA2,0.0017135246,0.031635962
FAM47E,0.0017133716,0.0035682986
KITLG,0.0017128492,0.01918258
SLFN12,0.0017052144,0.0014905024
C6orf141,0.0017020002,0.0004577865
MOCOS,0.0017018508,0.0035025736
GABRB1,0.0016971471,0.037065506
XKR4,0.0016922931,0.01541259
CT75,0.0016901083,0.00095959456
ANO4,0.0016839807,0.0075873793
LINC00378,0.0016835869,0.0019089652
SEMA3D,0.0016816205,0.0020327433
SCN9A,0.0016729485,0.011546202
SPHK1,0.0016671203,0.0030019558
GTF2IP12,0.001665824,0.0008191919
SMOC2,0.0016585371,0.0036444506
LEPR,0.0016583236,0.004884434
INA,0.0016575244,0.0038364988
NDST1-AS1,0.0016530163,0.000677031
CFAP77,0.0016522172,0.0044521773
GTF2IP4,0.0016516675,0.0007948777
LINC02739,0.0016486826,0.00016993315
PAUPAR,0.001643217,0.011064691
TGFB2,0.0016383512,0.014131529
KCNV2,0.0016339236,0.0014733061
SKAP2,0.001633841,0.0018307449
ZNG1C,0.0016259635,0.002926384
CFAP52,0.0016255939,0.011824751
OSMR,0.0016205473,0.0018545953
RNU2-63P,0.0016198873,0.00028252977
ZNF57,0.0016189032,0.00075923663
SEC61G-DT,0.0016143247,0.00025922994
GGNBP1,0.0016108585,0.00037851147
ARSD,0.0016085431,0.0045410627
LRMDA,0.0016027124,0.0048244516
HAPLN1,0.0016006116,0.004506303
DIO2-AS1,0.0015982473,0.0024293016
RIMBP2-1,0.0015981231,0.0043326505
HCN1,0.001593649,0.0058291075
SGCZ,0.0015923628,0.018190183
PARS2,0.0015920444,0.0005625979
METTL27,0.0015787247,0.00096595596
LINC02774,0.0015762822,0.0029812425
RERG,0.0015730566,0.0052795196
ZNF101,0.0015716244,0.0020742551
TFAP2B,0.0015704606,0.003299379
HSD17B6,0.0015700514,0.0032222678
DSCAML1,0.0015566521,0.010330758
ITPRIPL1,0.0015536305,0.00068872544
FOXO6,0.0015454319,0.0017713184
RCAN2,0.0015433413,0.0041992553
EML3,0.0015421506,0.0027796782
SPDYE3,0.0015400754,0.006289255
CCDC162P,0.0015399795,0.0012544846
HEPACAM,0.0015370259,0.015986372
GLRA1,0.0015306287,0.0010744506
DNAH3,0.0015301416,0.0011230075
FLNC,0.0015296687,0.0036360791
RAB27B,0.0015279797,0.0032360312
ZNF613,0.0015269899,0.0011060934
ZFP69B,0.0015211797,0.0017154973
DDN-AS1,0.0015140389,0.0013465584
MRPL30,0.0015108146,0.0025937164
H3C7,0.001509074,0.00045997463
OBI1-AS1,0.0014979088,0.025885772
MCRIP2,0.0014938493,0.0017752557
APOE,0.0014925352,0.030599222
LINC02666,0.0014906819,0.0045084734
DIO2,0.0014853034,0.0055875024
OVCH1-AS1,0.0014802243,0.0014705684
MT-TD,0.0014791058,5.4476465e-07
INSM1,0.0014767903,0.004765326
HJV,0.0014675984,5.629417e-05
SLC26A6,0.0014661932,0.0019161594
CNTN1,0.0014621606,0.020355718
EBF2,0.0014589743,0.001820338
ZBTB24,0.0014556681,0.0013796404
GMNC,0.0014546165,0.002160033
VWA3A,0.001450359,0.010091055
CCBE1,0.0014418303,0.0056650075
RASSF9,0.0014416531,0.004215847
DCT,0.0014376993,0.006988175
ADAMTS20,0.0014375207,0.0005668245
MAFK,0.0014369541,0.0011587255
MAP3K19,0.0014367586,0.010475613
MSX1,0.001434434,0.003158424
DYNLT5,0.0014128035,0.015543141
CD96,0.0014109039,0.0023575707
RUNDC3B,0.0014094554,0.004327579
RABGAP1L-AS1,0.0014089977,0.0007575661
MIR2052HG,0.0014086278,0.0025823093
CCN3,0.0014015628,0.0010036341
ST6GALNAC4,0.0013965919,0.0019746758
TLL1,0.0013949671,0.0063926983
MREG,0.0013941518,0.002137872
LINC01776,0.0013936082,0.004728474
PIK3C2G,0.0013833183,0.022801047
CCL3,0.0013699497,0.0001965591
VEGFC,0.0013688894,0.0034591202
TENM1-1,0.0013616756,0.011514083
RPL21P23,0.0013573,5.4476465e-07
MIR4300HG,0.0013546767,0.003672701
TMEM78,0.0013533385,3.4676035e-05
LINC00907,0.0013524698,0.006351339
KLHL1,0.0013479065,0.009178501
KCNIP2,0.0013439552,0.0028450843
SEMA3E,0.0013434377,0.0053398404
LHX1,0.0013380231,0.0037879054
OCA2,0.0013312232,0.001991377
BMAL2-AS1,0.001329635,0.00038035933
PRSS48,0.0013270681,0.0012654148
SHISA3,0.001325879,0.0005859219
LINC02787,0.0013253237,5.4476465e-07
RAPGEF4-AS1,0.0013237584,0.0008162775
GATA3,0.0013233814,0.0005495377
SHANK3,0.0013227197,0.0044766236
EN2,0.0013132102,0.007205321
RBM20,0.0013124485,0.005516665
FOXP1-AS1,0.0013110741,0.0023084576
THRB,0.0013062543,0.011169546
DLX6-AS1,0.0013036884,0.005629548
ENDOG,0.0013000305,0.004984995
SAMD3,0.0012981298,0.0030343735
ATP2C2,0.0012974482,0.0058807363
PRDM13,0.0012970616,0.0010539092
C15orf39,0.0012953427,0.0005399089
MAOB,0.0012938172,0.002257622
CHRM3-AS2,0.001291275,0.0016904606
LDLRAP1,0.001289068,0.0010933424
DLX1,0.0012790743,0.0017568958
DRAM1,0.0012784173,0.0014071676
GBX2,0.0012776373,0.00079185836
MAN2A2,0.0012752174,0.0042433445
MYO18A,0.0012696914,0.0029742138
FSTL4,0.0012693232,0.008091623
RBM43,0.0012691325,0.0017650301
LINC02899,0.0012671571,0.0032094948
ZNF208,0.0012667025,0.0007841571
SH3BP2,0.0012645845,0.005319277
MORN5,0.0012628395,0.0049739904
SLC1A3-AS1,0.0012560817,0.006894469
F11-AS1,0.0012555377,0.00086210907
SNX33-1,0.0012552355,0.001612622
RBPMS2,0.0012548589,0.0005224801
CD36,0.0012531565,0.0070557953
WNT9B,0.0012501983,0.001203057
ZNF853,0.0012479648,0.003162422
ANAPC1P2,0.0012432508,0.00063474866
ANKRD18A,0.0012401881,0.0007546799
BHLHE40,0.0012393803,0.0060185534
FXYD7,0.0012393792,0.001017782
GTF2IP13,0.001237063,0.0009976444
GPR50-AS1,0.0012315046,5.4476465e-07
H3C4,0.0012231561,0.0010383803
NCOA7-AS1,0.0012206528,0.0004653859
MAGED4B,0.0012193167,0.0006273952
LINC02069,0.0012164586,0.0019188749
CCDC13-AS1,0.0012150856,5.4476465e-07
COBL,0.0012110011,0.00881864
SERPINE3,0.0012088148,0.0006027414
LCAT,0.0012072407,0.008040638
B4GALNT3,0.0012048653,0.001647312
LINC00923,0.0012027863,0.0015718773
CBLN4,0.0012026465,0.00063678925
STARD13-AS,0.0012003817,0.007878385
ATP8B5P,0.0011994226,0.00024422212
BRINP1,0.0011992698,0.0045418986
ADORA2A-AS1,0.0011982663,0.0007238386
LINC00290,0.001195496,0.0008242566
FGF7,0.0011902094,0.00025067318
GNAS-AS1,0.0011857298,0.0026147268
LINC01340,0.0011854597,0.0013748516
BBOX1,0.0011838782,0.010303141
ACOXL,0.0011768696,0.0006817866
DNAJC14,0.0011758667,0.0019749927
LINC01933,0.0011755677,0.002117611
GFRA1,0.0011754538,0.0017626897
FAM186A,0.0011753335,0.0012404195
NR2E3,0.001171471,0.00087050704
DDX19B,0.0011708076,0.003532808
LINC01841,0.0011663503,0.0002495728
PDE6C,0.0011637798,0.0011551683
OPRM1,0.0011615985,0.0071105543
LACTB2-AS1,0.0011607613,0.00087742385
LMOD3,0.0011562491,0.0002985171
C16orf96,0.0011540606,0.0009041256
DMBX1,0.0011523027,0.00025164374
SBNO2,0.0011508238,0.002306551
PRSS3,0.0011507373,0.0007657929
ADRA1D,0.0011439145,0.0049289665
MEIS1-AS2,0.0011427437,0.0034192607
ENTR1,0.0011416948,0.0046765557
VSIG10L,0.0011402752,0.00022852515
DGAT1,0.0011339366,0.0038788328
LIMD1-AS1,0.0011333108,0.0014656436
DRP2,0.0011315848,0.0033631586
USH1C,0.0011311205,0.00443534
OMA1,0.0011305306,0.0023030683
FAM222A,0.0011302135,0.0011055707
NEUROD4,0.0011280278,0.00090543734
DPP4,0.0011251927,0.00066304597
TTC41P,0.0011228333,0.0003504448
LZTS1-AS1,0.0011207978,0.00040904488
PCDH15,0.0011205551,0.0077202446
NKX2-2,0.0011169259,0.00247436
STC2,0.0011096826,0.00070304686
PRMT8,0.0011091913,0.0020260545
SAMD15,0.0011076715,0.0027042883
LGR5,0.0011061504,0.00034737343
SLC15A3,0.0011049957,4.6104382e-05
CEBPD,0.0011045149,0.00610451
TSC22D1-AS1,0.0011041339,0.0021488478
SNTG2,0.0011039635,0.003999035
HDAC4-AS1,0.0010983469,0.0007855122
SEL1L2,0.001093244,0.00058585143
FDX2,0.0010919573,0.0030460532
SEMA7A,0.0010914698,0.0011564324
APOL4,0.0010904984,0.0006374706
DPYD-AS1,0.0010900432,0.0013854204
SLC45A4,0.0010854418,0.0013828457
EOMES,0.0010830789,0.0048902477
TSPEAR,0.0010813432,0.00019859604
DNAAF3,0.0010745203,0.0015918968
SNCB,0.0010716075,0.0017789829
ITPKB-AS1,0.0010698325,0.0009198074
DCDC2,0.0010658967,0.0071108337
LYPD6B,0.0010658175,0.0009936646
PLA2G4A,0.0010636959,0.0027777508
LMX1B,0.0010599466,0.0013294424
FRS3,0.0010544118,0.0019721026
CTU1,0.0010542973,0.0029706832
DYNC1I1,0.0010534138,0.005947548
POU3F1,0.0010495489,0.0011062248
GPRIN3,0.0010486891,0.0032359003
VTRNA1-3,0.0010484575,4.4029777e-05
SPAG5-AS1,0.0010482729,0.0011513962
LINC01995,0.0010468881,0.0012352862
SIM1,0.0010459626,0.00022540623
SMCR8,0.0010455019,0.0015219795
OVCH1,0.0010444804,0.002182465
SLC24A2,0.001044373,0.004839486
PARM1,0.0010443247,0.0019714208
LINC00598,0.0010408916,0.0018139809
GCNT4,0.0010405076,0.002126712
LINC01630,0.0010330541,0.0035259249
NPAS2,0.0010318066,0.003639071
RN7SL832P,0.0010309806,0.0001248332
GSX1,0.0010304152,0.0006766289
COL13A1,0.0010259995,0.00046016273
SLC47A1,0.0010246151,0.0010625584
SPATA6L,0.0010190422,0.0038771348
UBAC2-AS1,0.0010185824,0.00063364784
HHIPL1,0.0010088738,0.0035719955
VENTXP1,0.001008674,7.7112294e-05
NLRC5,0.0010071084,0.00071100186
ITGB5-AS1,0.0010064796,0.003702721
VWC2L,0.0010056685,0.002177993
TTC22,0.0010026245,0.001427047
PSTPIP1,0.0010016402,0.00017225496
CALB1,0.0010015337,0.0019546943
OTOS,0.0009987815,0.0004943572
TPRG1,0.0009984268,0.0022855077
ANO1,0.000998396,0.00065052573
CPLANE2,0.0009967783,0.000427081
LINC02197,0.0009955092,0.0033772918
EN1,0.0009916548,0.0024552734
FAM86B1,0.0009886997,0.0008854701
GNG8,0.0009879228,0.00078856014
ANKRD18CP,0.000987605,0.003508559
DISC1FP1,0.0009870125,0.0006353179
PERP,0.0009839674,0.0003901433
TMEM240,0.0009836464,0.005545308
PNOC,0.0009819099,0.0012150184
LINC02885,0.0009815276,0.0013782954
CACNG3,0.0009806993,0.0014861381
CPOX,0.0009801965,0.00034589402
LHX5,0.0009749597,0.00016946152
SERPINF1,0.000974791,0.0013466051
RAMP3,0.00097475556,0.0020674956
STX1B,0.0009737289,0.0037919902
PDZD7,0.0009647907,0.0013900057
ZNF525,0.0009634967,0.0016019174
THORLNC,0.00096075307,0.00025959773
FGF8,0.00096056523,0.00014723181
WWC3-AS1,0.0009592271,0.002142715
MLIP,0.00095881993,0.010086432
C1QL1,0.00095628545,0.0075733815
LINC01994,0.0009536302,0.0015979809
ZNF774,0.00095239445,0.0017374582
PROK2,0.00094643544,0.00034833796
B3GALT5,0.00094615883,0.0039924686
H2AC4,0.00094221154,0.0003149109
TMC4,0.00093400566,0.000844686
NETO1,0.00093128666,0.0032989068
C7orf57,0.00092834485,0.007864995
PSG11-AS1,0.00092474086,0.0019096817
LINC02428,0.00092073454,0.0001440541
ACTG1P17,0.00091908267,0.0004952613
GMPR,0.0009174429,0.011668516
CDC42-AS1,0.00091424666,0.0008382682
GSTM1,0.0009126138,0.00022867619
NWD1,0.0009122684,0.00095216837
PSORS1C1,0.0009086188,7.874187e-05
ADRA1B,0.00090796076,0.0022843853
SMG1P7,0.00090646616,0.00025355787
CCK,0.0009034721,0.00044072393
S100A11,0.0009017116,0.0013460318
MEIKIN,0.00090101786,0.0029257732
RAB43,0.00089873414,0.003467262
ANXA8,0.0008954971,0.00090582867
IDH1-AS1,0.0008949686,0.00029397313
NACA4P,0.0008948727,0.00019284424
XACT,0.00089468725,0.001018348
CFAP157,0.0008941876,0.0039192475
VAX2,0.0008928114,0.00042771915
KCNC2,0.0008910703,0.0070632277
ARHGAP26-AS1,0.0008879823,0.0012995751
KCNK1,0.0008873627,0.0018452858
STMND1,0.00088691135,0.0017227537
CD109,0.00088449527,0.002700978
CA4,0.0008829973,0.00029268954
FBXL22,0.0008820367,0.00034312706
LYPD3,0.0008818386,4.8875583e-05
GNRHR2,0.0008817749,0.0009095121
FCRLB-1,0.00087833765,0.00022155693
TNFRSF13C,0.0008780068,0.001500412
ARHGAP19-SLIT1,0.0008773936,0.0007142641
EPOP,0.0008750768,0.00033902828
CHRNE,0.0008746027,0.00064187404
HS3ST2,0.0008745009,0.00096037623
PAMR1,0.0008733414,0.0022867955
ERICH3,0.00086727616,0.0069692074
LHX1-DT,0.00086571433,0.0016959428
SLA,0.00086272415,0.005794469
LINC01170,0.0008620775,0.00085643126
LINC01060,0.00086181326,0.001349951
PPEF1,0.000856764,0.00033038866
TTR,0.0008557756,0.00074083544
RBP5,0.00085547735,0.0012199417
WNT8B,0.0008546708,0.00047278593
CA10,0.0008534578,0.00875741
XKR5,0.0008518209,0.0003408545
BRICD5,0.00084919075,0.0013132559
TRH,0.0008469701,0.0017499697
LINC02669,0.0008450593,0.00047329365
ESRRB,0.00084376935,0.0010283899
SPX,0.0008422297,0.00016545868
SPDYE7P,0.0008382459,4.550578e-05
LMNTD1,0.00083754945,0.0014339531
AGBL2,0.0008371776,0.0011647763
FGF19,0.0008322261,0.00029682295
SOX2,0.0008283646,0.05417471
SLITRK6,0.00082629523,0.003654134
C14orf39,0.0008257269,5.4476465e-07
TFAP2A,0.0008247534,0.0010879938
SMOC2-1,0.00082437694,0.0014801578
LINC01118,0.000822695,0.0015398222
ATP10B,0.00082064816,0.011613966
MATN1,0.00081868167,0.00025681566
ADAP2,0.00081854104,0.0013938937
TNKS2-DT,0.00081753597,0.00046857382
VIPR2,0.00081524154,0.0057379412
IL12A-AS1,0.0008141086,0.0012054561
KXD1-AS1,0.0008085361,0.0007981105
LINC02254,0.00080600363,0.002939782
NREP-AS1,0.0008051384,0.0019561672
RBMS3-AS2,0.000801866,0.00317569
ADCY8-1,0.00080154906,0.0046957973
ABCB5,0.00080052816,0.00067327544
SLC5A10,0.00079741195,4.9443537e-05
LINC01950,0.0007969526,0.00055205
CHRNA3,0.0007945556,0.0005450695
HAPLN4,0.0007933906,0.00134281
DPY19L1P2,0.00079324906,0.0006191488
MICAL2,0.0007930244,0.00260206
TMPRSS15,0.00079265644,0.000108067
LINC02511,0.0007925955,0.00021525059
LINC01483,0.00079131994,0.0011859881
WFDC1,0.00079095986,0.0047459807
C8orf34,0.0007903703,0.013534351
LINC00943,0.0007902968,0.014058011
LINC01524,0.00078843127,0.00032618124
DPF3,0.000788173,0.004140697
LINC01640,0.000783713,0.00055344746
LINC01934,0.00078283274,0.0017847924
PLXDC1,0.00078266684,0.0010857122
RPGRIP1,0.0007823711,0.0005793904
KCNE4,0.00078059616,0.0028481125
GAD1,0.0007800151,0.0023692634
CYP1B1,0.00077831047,0.00086032663
CRH,0.00077752385,0.002070292
ST8SIA6,0.00077681796,0.0012287796
ZNF804B,0.0007750158,0.008617442
LINC00499,0.0007721386,0.00290273
EEF1A2,0.0007714152,0.011889251
PCYT1B-AS1,0.00077051495,0.0012213377
MCTP2,0.0007690818,0.00049169204
TAP2,0.00076811836,0.0018374575
LINC01791,0.0007670074,0.0004917383
FLVCR2,0.00076587783,0.0013107914
STEAP2-AS1,0.0007613033,0.0006199247
PCDHGB6,0.000760857,0.0021028086
COL21A1,0.0007600007,0.0056906347
SULT2B1,0.00075911137,0.00040128888
HAPLN3,0.00075587025,0.0033926296
MORF4L2-AS1,0.00075565424,0.0007156347
MYRF,0.00075421314,0.0009950735
TMC3,0.0007521005,9.226556e-05
CCDC153,0.00075137714,0.0009909315
CRYGC,0.00075110345,5.4476465e-07
S100A10,0.0007510974,0.0048850244
RAD9B,0.0007505162,0.00063567725
NHLH2,0.00074856315,0.00090889004
MIR217HG,0.00074792403,0.0008386322
LINC01828,0.00074758875,0.001145413
CRABP1,0.0007465173,0.0014030241
RASEF,0.00074299006,0.0011676506
RHOF,0.00074206654,0.001541921
TEP1,0.00074193446,0.0024229905
NKX6-2,0.0007376647,0.0040356
MELTF,0.0007355792,0.0012388586
ZNF567-DT,0.00073542545,0.0009236558
LINC01145,0.00073140766,0.00027393666
HSPA6,0.00072828075,0.005673663
EFCAB6-AS1,0.0007263401,0.0014783768
ERAP2,0.0007263019,0.0024586248
HPSE2,0.00072202965,0.0012104065
SMIM18,0.0007204992,0.0015869507
INPP5J,0.000716153,0.0007408928
C5orf64,0.000715859,0.00071817095
STK32A,0.00071517786,0.0024864697
LINC02755,0.00071394874,0.0010932419
SLC25A25-AS1,0.0007125951,0.0016005636
C1QL2,0.0007111544,0.0024700975
CDC20B,0.00071046664,0.0014386605
ZBTB44-DT,0.00070985727,0.0008211324
LINC02725,0.00070803106,0.00023289541
TRPM6,0.0007066866,0.0008333537
GDPD3,0.00070627517,0.0012098128
VTRNA1-1,0.00070520426,4.2275933e-05
ONECUT2,0.0007049694,0.0015229483
SIM2,0.00070425076,0.0001755928
DGKQ,0.00070304173,0.002210214
KCTD19,0.0007030189,0.00039773024
LINC01470,0.00070248556,0.00095432205
C1QL4,0.0007000556,0.0026185147
BTNL9,0.0006993401,0.00029818073
FRMPD4,0.00069923414,0.010136176
PRSS51,0.00069853634,0.005220833
SEZ6L2,0.0006977393,0.0032242916
LINC01239,0.00069757015,0.0006340689
KRT18P59,0.0006955898,0.00017760659
SEPTIN4-AS1,0.00069444795,0.00075296947
ESPNP,0.0006928564,0.00038765863
SERPINE1,0.00069144333,6.1149025e-05
SIX3-AS1,0.0006910693,6.702504e-05
LINC02613,0.000687336,0.0006730049
LINC02019,0.0006869888,0.00047184815
ERICH6,0.0006869297,0.00038407632
ST8SIA5,0.0006864799,0.0045034476
HPD,0.00068548834,0.0010626573
ISL1,0.00068472035,5.4476465e-07
LINC02788,0.0006821327,0.00020488427
ITIH5,0.0006819971,0.005767367
H4C6,0.0006807427,0.00019942255
LINC01117,0.0006758261,0.0024669287
PCDHGA6,0.00067476055,0.0021012926
VAX1,0.0006745458,0.00087087194
ZNF517,0.0006738664,0.0013113167
GRIN3A,0.0006735246,0.002169441
PTCHD1-AS,0.0006734202,0.0062499708
RASGRP2,0.00067153905,0.0019976092
LINC02381,0.00067061605,0.000653516
CLIC6-1,0.0006700796,5.4476465e-07
PDZK1,0.00066803116,0.001032462
LINC01788,0.00066762423,5.4476465e-07
PTPRB,0.0006658046,0.00080809946
MYH7B,0.0006629093,0.0010434474
TEK,0.000661835,0.0018824026
STAB2,0.00066183385,0.00023930849
DMKN,0.000658102,0.00090169336
SLC28A1,0.000657697,0.00018006665
RLN1,0.0006575108,0.00026292482
ACOT6,0.00065736787,0.00049409684
FXYD1,0.0006570408,0.0029017336
SSC4D,0.00065635436,0.00076637155
MGP,0.0006563448,0.0042050625
TNS2,0.0006549767,0.003093998
EPAS1,0.00065415376,0.0014949793
WNT1,0.0006534725,0.00040403128
TRDN,0.00065332226,0.0003682816
MANSC4,0.00065149233,0.00039718128
AMPD3,0.00065108016,0.00054848316
PRLR,0.00065072154,0.0021649443
CELA3B,0.0006500481,8.057065e-05
ZNF285CP,0.0006497881,0.00013688991
RPS27AP11,0.00064885325,0.00017926579
SAMMSON,0.00064784306,0.00041341493
HTR7,0.00064730784,0.0010333132
LINC01435,0.000645337,0.0008929366
CPED1,0.0006442322,0.0030093568
TIMP4,0.0006440659,0.0027253996
INHBA,0.0006439128,0.001406784
ABCA13,0.0006426963,0.00061693176
PRSS46P,0.00064189924,0.000110428955
STYK1,0.0006417055,0.0008043019
RPAP2P1,0.0006404132,0.00065126794
PLXND1,0.00064015575,0.00094744423
AGTR1,0.00063955254,0.002510197
SGPP2,0.00063602364,0.00091082184
CPNE7,0.00063373573,0.0012172121
LINC00680,0.0006318586,0.00073269603
LINC01517,0.00063146045,0.0006069571
CCDC178,0.00062800123,0.0012767214
CALB2,0.0006243057,0.001903666
TAT-AS1,0.0006229259,0.00014743902
TAGLN,0.0006208881,0.0014058504
LRRC43,0.00062070275,0.0013918118
ANGPTL5,0.0006205257,0.0003359922
ERICH2,0.00061996543,0.0011040268
CCL27,0.0006199252,0.0004135934
LINC02641,0.0006198723,0.004463006
LAMB4,0.00061965385,0.00046786843
LAPTM4A-DT,0.0006194045,0.00021832001
LINC00504,0.0006161685,0.0012164458
PECAM1,0.00061555236,0.00040035468
UPK2,0.00061549514,0.0011231884
KLHL35,0.00061417016,0.0020075974
RPL30P11,0.0006104668,7.07646e-05
LINC01208,0.00061020453,0.0017807577
RAPGEF3,0.0006069278,0.0014864515
IFI35,0.0006067878,0.00070691085
LINC02334,0.0006041995,0.0009950886
GNA14-AS1,0.00060367945,0.0008205838
WSCD2,0.000603625,0.0006575538
MYL3,0.000603279,0.000218831
ADGRG6,0.00060182,0.009433338
LINC00519,0.0006013883,0.00017915963
PRDM8,0.00060051325,0.005632944
SELENON,0.0006004846,0.0074750497
CTXND1,0.00059857924,0.010642328
EMCN,0.0005985143,0.0005072063
TMSB15B,0.0005978708,0.0013972665
ZNF385C,0.0005968776,0.00047212688
POU4F1,0.0005956859,6.499641e-05
GABRD,0.00059188413,0.0003254068
NDUFC2-KCTD14,0.00059155986,0.00011218808
LINC02133,0.00059058535,0.0017980871
SPHKAP,0.00059022836,0.005993428
IRAG1-AS1,0.00058805774,0.00068168575
ASCL2,0.0005873377,0.0014296259
TEX26-AS1,0.0005860647,0.00024002239
SLC17A6,0.0005858179,0.0030286757
IGSF6,0.000584942,0.0029820527
FIRRE,0.0005832563,0.0006055293
CNBD1,0.0005822978,0.00070346333
RHOH,0.0005785075,5.4476465e-07
CASC9,0.0005764397,0.000113787355
PRSS36,0.0005760138,0.0002039691
CNGB1,0.0005754249,0.00082953996
LINC00645,0.0005745281,0.0007087886
LINC02112,0.0005740073,0.000808593
GTF2IRD2P1,0.00057315466,0.00018711909
MIR4713HG,0.0005725716,0.00031586102
PRDM12,0.00057113584,5.4476465e-07
PPP4R1-AS1,0.0005705148,0.0002781956
BDNF,0.00057040056,0.00070436724
GADL1,0.00056969025,0.000200904
TMOD4,0.0005684817,9.140053e-05
F10,0.00056835415,0.0003980803
DNM1P47,0.00056750834,0.00093818054
TRIM26BP,0.0005671711,6.366041e-05
DEPDC1-AS1,0.00056687114,0.00020757005
PLCXD3,0.0005662628,0.0027119583
LINC01837,0.0005659375,0.000325594
CAPSL,0.00056516303,0.0044187247
FERMT3,0.00056321686,0.00059035333
MT-TI,0.0005629153,5.468289e-05
IRS3P,0.00056030415,0.0003005249
DUSP5,0.0005590053,0.00058613246
NIBAN3,0.00055860414,0.00028566975
NWD2,0.0005577865,0.0027599677
SH2D4A,0.00055739,0.001730124
LRRC26,0.0005573012,0.0009184241
LINC02935,0.00055472326,0.00041085214
FAM230D,0.000552633,0.00080799055
NDUFB2-AS1,0.00055210147,0.00014506417
MRPS31P2,0.000551748,2.4777763e-05
EREG,0.00054719683,3.7603775e-05
ATOH1,0.00054712576,0.0017059256
LINC02335,0.00054543803,0.0002250812
ITGAL,0.0005452831,6.460065e-05
GRTP1-AS1,0.0005432659,0.0002470598
TDRD12,0.00054266176,0.0005039327
KRT19,0.0005416332,0.00017770298
COL4A4,0.0005406841,0.0011637355
CDKN2B,0.0005405815,0.0001823144
SLC43A3,0.00054001325,0.0031999177
PLA2R1,0.00053981744,0.0030493038
TMEM63A,0.00053810154,0.0036851403
DTNB-AS1,0.00053768855,0.00039248436
DAB2,0.000536762,0.00079774915
PPP1R14A,0.0005357407,0.0009491234
KCNQ4,0.0005353773,0.0012770955
STEAP1,0.00053445145,0.00026003554
ADGRL4,0.00053408043,0.0004960394
SEC14L6,0.00053398305,0.0006821306
TMEM252-DT,0.00053387915,2.8676548e-05
SEPTIN7P9,0.0005336999,0.00054366066
LINC01976,0.0005329841,7.709827e-05
BDKRB2,0.0005327714,0.0001491203
BARHL1,0.0005322477,0.0016244929
CASC11,0.0005316718,0.00020534497
LINC01568,0.000530496,0.0004107263
TC2N,0.00052897964,0.0053397184
FHAD1-AS1,0.0005279464,0.0003836911
PLAC1,0.0005275755,0.00013257672
LINC00642,0.0005272366,6.790611e-05
WNT3A,0.00052517874,0.0012813929
AHR,0.0005250811,0.001763392
KLHL7-DT,0.00052207336,3.394871e-05
PCDHA6,0.00052039354,0.0002470913
CDH22,0.00052035047,0.001878964
PAX2,0.00051784207,0.00091176276
MGARP,0.0005170452,0.00043564147
ASIC4,0.00051658234,0.000107625056
SLC17A8,0.00051423605,0.0024065452
SCN7A,0.0005138673,0.0022582964
TMEM140,0.0005109882,0.001777642
TRMT2B-AS1,0.0005076339,0.00042367476
SEMA3F-AS1-1,0.0005059702,0.0008903213
FOXD1,0.0005059165,0.00020845282
ATOH7,0.000505634,0.00029976916
SOHLH2,0.0005055613,0.00071433996
OSMR-DT,0.00050470483,0.0014934371
ADORA2A,0.0005040892,0.0008906841
MARCHF4,0.00050333043,0.004511478
ODC1-DT,0.00050333026,0.0004035548
AKAP3,0.00050149194,0.00029296757
NGF,0.0005014338,0.00041713024
HMGB3P3,0.00050137745,0.00026483816
ARHGAP25,0.00049900776,0.0007189209
MYRFL,0.0004974063,0.00056290487
THEGL,0.0004949682,0.0002122719
LINC02233,0.000494518,0.00013845715
IGSF1,0.0004929996,0.001016445
EQTN,0.00049173686,0.00089566514
VXN,0.00049100316,0.0013130675
NQO2-AS1,0.00049071177,0.00019846008
FRMD6-AS2,0.0004906356,3.8525952e-05
TNR,0.00048929773,0.0042977124
H3P25,0.0004890481,0.00049960165
LINC01968,0.0004883037,0.00013030248
STEAP3-AS1,0.0004864756,0.00058581034
NMBR,0.0004860674,0.0007982319
PHYHIP,0.00048581476,0.0011661771
LRFN2,0.00048536467,0.0032719078
APOD,0.00048489674,0.00041808467
CALCR,0.0004838421,0.0003739508
FREM2-AS1,0.00048345147,0.0011305696
SLC25A41,0.00048333913,0.0010772487
ZNF840P,0.00048255062,0.0007968092
MDS2,0.00048196132,4.7406706e-05
SCHLAP1,0.00048147296,0.00014995401
CLDN6,0.0004812732,0.00014243943
TEPP,0.00048122415,0.00014902334
FAM53B-AS1,0.0004807829,0.0019303419
SASH3,0.00047972985,5.4476465e-07
RHOD,0.00047773198,0.00016492742
MEIS1-AS3,0.00047659903,0.00045356396
LINC03088,0.0004764816,9.850817e-05
ARL5C,0.00047635427,4.9580358e-05
MAP3K6,0.00047480897,0.00059149705
KCTD14,0.0004741082,0.00022389075
NCMAP,0.00047296064,0.00045020008
