gene,pearson_r,pval,padj,abs_r
HPX,-0.018524300307035446,0.27845164780627324,0.6306491953987612,0.018524300307035446
LINC01470,-0.018521951511502266,0.2785126061499618,0.6306491953987612,0.018521951511502266
SDHAF2,-0.018505174666643143,0.2789482799366497,0.6310653863487818,0.018505174666643143
SP7,-0.018505174666643143,0.2789482799366497,0.6310653863487818,0.018505174666643143
CNTN5,0.01848573423922062,0.2794537029062713,0.6318623696543769,0.01848573423922062
MAN1A2P1,0.01848192699253559,0.2795527586357521,0.6318623696543769,0.01848192699253559
LGR6,-0.018475541844964027,0.2797189389217521,0.6319529318922,0.018475541844964027
ZNF419,0.01846146769821644,0.28008547059132244,0.6322395339800143,0.01846146769821644
DLX6,0.01846098154783249,0.2800981371853187,0.6322395339800143,0.01846098154783249
OR52E5,0.018432609736919403,0.280838035475565,0.6336242214174049,0.018432609736919403
COL23A1,-0.018383685499429703,0.28211702655825455,0.6361031073756985,0.018383685499429703
LYPD3,-0.018380654975771904,0.2821963810127109,0.6361031073756985,0.018380654975771904
LINC02669,-0.018376028165221214,0.2823175635209646,0.6361031073756985,0.018376028165221214
CD109,0.01835962012410164,0.2827475968857551,0.6367857114582108,0.01835962012410164
RHBG,0.018329286947846413,0.2835437578711257,0.638291900580508,0.018329286947846413
RIMS1,0.018322104588150978,0.28373249671686923,0.638429969038272,0.018322104588150978
SFN,0.018310334533452988,0.284041975337927,0.638839469667124,0.018310334533452988
C22orf42,0.018304208293557167,0.28420314737558355,0.6389151958272989,0.018304208293557167
MIR663AHG,-0.0182954091578722,0.2844347474638077,0.6390853702370374,0.0182954091578722
H3C7,-0.018291642889380455,0.2845339175810877,0.6390853702370374,0.018291642889380455
LINC02831,-0.018271254375576973,0.2850711761819978,0.6395563757504238,0.018271254375576973
LRRC38,0.01826719008386135,0.2851783564302427,0.6395563757504238,0.01826719008386135
ADAMTSL4,0.01826046034693718,0.28535588755003805,0.6395563757504238,0.01826046034693718
PPIAP51,0.018258515745401382,0.28540720023540495,0.6395563757504238,0.018258515745401382
PABPN1L,0.018257275223731995,0.28543993744735746,0.6395563757504238,0.018257275223731995
DAB2,0.01825464330613613,0.2855094018267208,0.6395563757504238,0.01825464330613613
ESRRG,-0.018233144655823708,0.2860772448871223,0.6405420349103529,0.018233144655823708
SIM1,0.018217075616121292,0.28650217362040026,0.641206963828417,0.018217075616121292
FAM25G,0.01821015775203705,0.28668524034726034,0.6413169729810066,0.01821015775203705
LAMC2,-0.018204888328909874,0.286824737514282,0.6413169729810066,0.018204888328909874
F11-AS1,-0.018200714141130447,0.2869352730838988,0.6413169729810066,0.018200714141130447
TTC41P,-0.01819404773414135,0.28711186406138867,0.6414255687969767,0.01819404773414135
HMGB1,-0.018174700438976288,0.28762478283293286,0.6422851099714022,0.018174700438976288
RPS2P41,-0.018162855878472328,0.287939100358768,0.6427005932729561,0.018162855878472328
NCOA7-AS1,-0.018153248354792595,0.28819422397124184,0.6429836403917599,0.018153248354792595
TFAP2D,0.018144911155104637,0.28841573811955923,0.6431914836302232,0.018144911155104637
LINC00692,0.01811198517680168,0.2892916817297033,0.644857925777377,0.01811198517680168
RRM2B,-0.018089430406689644,0.2898927484592005,0.6459104324273248,0.018089430406689644
INSL3,0.018071075901389122,0.2903825012444636,0.6467140949937809,0.018071075901389122
MTCO3P12,-0.018061816692352295,0.290629775543977,0.6468728623442078,0.018061816692352295
ARHGAP6,-0.018053200095891953,0.290860015542046,0.6468728623442078,0.018053200095891953
TTC36,-0.018051421269774437,0.29090756198011386,0.6468728623442078,0.018051421269774437
LINC01792,0.018049079924821854,0.29097015201034615,0.6468728623442078,0.018049079924821854
LINC01283,-0.018033642321825027,0.2913830645207985,0.6475035637754861,0.018033642321825027
ZNF30-AS1,0.018010614439845085,0.2919997270868954,0.6485862732413267,0.018010614439845085
LINC02263,0.017995527014136314,0.2924042274484798,0.6491969799487516,0.017995527014136314
ROPN1B,0.017988283187150955,0.29259857116089466,0.6493267745439484,0.017988283187150955
GALNTL5-1,-0.01798368990421295,0.2927218486718777,0.6493267745439484,0.01798368990421295
MYH11,-0.01797211542725563,0.2930326465711803,0.6494157781143514,0.01797211542725563
TENM3,0.017970973625779152,0.29306331822198833,0.6494157781143514,0.017970973625779152
SFTPC,-0.017959024757146835,0.2933844240056213,0.6494157781143514,0.017959024757146835
MNDA,-0.017959024757146835,0.2933844240056213,0.6494157781143514,0.017959024757146835
HFE,0.017958074808120728,0.29340996241287,0.6494157781143514,0.017958074808120728
ZNF700,-0.01793541945517063,0.2940194701898233,0.6504775121947922,0.01793541945517063
RPL23AP43,0.01793036237359047,0.2941556390531028,0.6504915742696815,0.01793036237359047
KAZALD1,-0.017921915277838707,0.2943831829500265,0.6506002244066768,0.017921915277838707
SPDYE19P,0.017916277050971985,0.2945351284747413,0.6506002244066768,0.017916277050971985
ATP2C2,0.01791408285498619,0.29459427443199954,0.6506002244066768,0.01791408285498619
KIF25-AS1,0.017908133566379547,0.29475468134704813,0.6506677128766777,0.017908133566379547
DPP8,-0.01787589117884636,0.2956250300735482,0.6523016405541832,0.01787589117884636
RBMY1KP,0.017867278307676315,0.29585781611333295,0.6525279562253131,0.017867278307676315
MEIKIN,-0.01784566417336464,0.29644253629528905,0.6535299381327292,0.01784566417336464
CYP4F2,-0.01783679611980915,0.2966826643163098,0.6537716934428445,0.01783679611980915
ZNF836,-0.0177946574985981,0.29782546532698506,0.6560014974740757,0.0177946574985981
OR5BA1P,-0.017779279500246048,0.29824324848918293,0.6566330923459119,0.017779279500246048
C11orf42,-0.017767878249287605,0.2985532454576088,0.6570269270918216,0.017767878249287605
CBLN2,-0.01776103675365448,0.2987393670989396,0.657042334583374,0.01776103675365448
TCFL5,-0.017755698412656784,0.29888464945892135,0.657042334583374,0.017755698412656784
CDH5,-0.01775316521525383,0.29895360663542064,0.657042334583374,0.01775316521525383
MYCT1,0.017744898796081543,0.29917870395350177,0.6572487880363864,0.017744898796081543
ZNF418,-0.017731821164488792,0.2995350430075853,0.6573206970848551,0.017731821164488792
LINC02653,-0.01773158460855484,0.29954149128383856,0.6573206970848551,0.01773158460855484
EMCN,-0.0177292563021183,0.2996049635086428,0.6573206970848551,0.0177292563021183
MDGA2,-0.017716670408844948,0.29994822421097744,0.6577857993528262,0.017716670408844948
OTOR,0.017699621617794037,0.30041362139508965,0.6582199515658483,0.017699621617794037
SERBP1P1,-0.017697082832455635,0.30048296618254644,0.6582199515658483,0.017697082832455635
LINC02848,-0.0176949854940176,0.30054026126175637,0.6582199515658483,0.0176949854940176
DTHD1,0.017684206366539,0.30083484021099954,0.6585134522159802,0.017684206366539
ZNF793,-0.017680466175079346,0.3009370994960277,0.6585134522159802,0.017680466175079346
TOPBP1,0.017673425376415253,0.30112966233490995,0.6586472012048161,0.017673425376415253
HMX3,-0.017649848014116287,0.30177509031340183,0.6595803296287638,0.017649848014116287
SLC6A7,-0.017648225650191307,0.30181953618813717,0.6595803296287638,0.017648225650191307
ZNF766,-0.01763296313583851,0.30223787740303104,0.660206627579158,0.01763296313583851
FBXL22,-0.017625881358981133,0.3024321178258142,0.6603430685948387,0.017625881358981133
BNC2-AS1,-0.017600685358047485,0.3031238717771449,0.6611468424143973,0.017600685358047485
SUGT1P3,0.01759921759366989,0.3031642014987578,0.6611468424143973,0.01759921759366989
RNU6-31P,-0.017597774043679237,0.3032038693597664,0.6611468424143973,0.017597774043679237
BMX,0.017587967216968536,0.30347344618663374,0.6611468424143973,0.017587967216968536
PLA1A,-0.017587954178452492,0.3034738047043153,0.6611468424143973,0.017587954178452492
SNCB,-0.017583660781383514,0.3035918747546454,0.6611468424143973,0.017583660781383514
ERN2,-0.017577573657035828,0.30375932527351457,0.6612187356133096,0.017577573657035828
LINC01968,0.017561331391334534,0.3042064333898232,0.6612187356133096,0.017561331391334534
SLC5A7,-0.017561089247465134,0.3042131022956529,0.6612187356133096,0.017561089247465134
LINC00592,-0.017557643353939056,0.30430801647252403,0.6612187356133096,0.017557643353939056
CCDC39-AS1,-0.01754869520664215,0.30455457728216906,0.6612187356133096,0.01754869520664215
GTF3C2-AS1,0.017547952011227608,0.30457506154485575,0.6612187356133096,0.017547952011227608
DIO2-AS1,-0.017543302848935127,0.3047032244468885,0.6612187356133096,0.017543302848935127
OPLAH,0.017540495842695236,0.3047806221739508,0.6612187356133096,0.017540495842695236
KCNC3,-0.017539341002702713,0.30481246842281884,0.6612187356133096,0.017539341002702713
MGC27382,-0.017518948763608932,0.305375175189424,0.6621527489719617,0.017518948763608932
ARRDC5,0.017508016899228096,0.305677114246122,0.6624380686786229,0.017508016899228096
PA2G4P2,-0.017501380294561386,0.30586051435384887,0.6624380686786229,0.017501380294561386
OSTN,-0.017499830573797226,0.3059033508126788,0.6624380686786229,0.017499830573797226
PDE6A,0.01749413274228573,0.3060608810595157,0.6624929049629517,0.01749413274228573
CD83P1,0.01748862862586975,0.30621310662074713,0.662536216440658,0.01748862862586975
CNTNAP2-AS1,-0.017469605430960655,0.3067396111563043,0.6633109647689794,0.017469605430960655
TUBB2A,0.01746612787246704,0.306835924233585,0.6633109647689794,0.01746612787246704
REV3L-IT1,-0.017459288239479065,0.30702541040143577,0.6634343818549352,0.017459288239479065
KCNJ15,-0.017448410391807556,0.3073269313820046,0.6637996780841487,0.017448410391807556
STX1B,0.017420150339603424,0.308111181962134,0.6652068646325952,0.017420150339603424
JAKMIP1-DT,-0.017405379563570023,0.30852161501537695,0.6658061209483437,0.017405379563570023
LINC01399,-0.017382359132170677,0.30916200008183636,0.6668667464103637,0.017382359132170677
LIX1,0.017378147691488266,0.3092792493828947,0.6668667464103637,0.017378147691488266
SUB1,-0.017366504296660423,0.3096035620545446,0.667198334620293,0.017366504296660423
THRB,-0.017363067716360092,0.30969932674651796,0.667198334620293,0.017363067716360092
DISC1FP1,0.01735193282365799,0.3100097490663735,0.667468431741014,0.01735193282365799
LINC02309,0.017349015921354294,0.3100911013955459,0.667468431741014,0.017349015921354294
CLDN6,-0.01733243465423584,0.3105538201912104,0.6681774121846953,0.01733243465423584
CALCR,0.017312034964561462,0.31112372097541097,0.6689711816206847,0.017312034964561462
LINC02624,-0.017309673130512238,0.31118974742722333,0.6689711816206847,0.017309673130512238
OR11A1,0.01729244738817215,0.3116715825110045,0.6697196826597958,0.01729244738817215
MYOCOS,0.01728753186762333,0.3118091686069324,0.6697281371150186,0.01728753186762333
SPAG4,0.017275812104344368,0.31213736782977164,0.6700974777340185,0.017275812104344368
LDHD,-0.017271842807531357,0.31224857523626687,0.6700974777340185,0.017271842807531357
SMIM10L2B-AS1,-0.017255032435059547,0.31271983907742124,0.670688180285982,0.017255032435059547
LRFN5,0.01725107803940773,0.3128307650372986,0.670688180285982,0.01725107803940773
PSMA8,-0.017247706651687622,0.31292535731563076,0.670688180285982,0.017247706651687622
LRRC74B,-0.01720144785940647,0.3142251586087961,0.6731860922568094,0.01720144785940647
LINC01814,-0.017194442451000214,0.3144223088654753,0.6733205938995285,0.017194442451000214
GSC,0.01718822494149208,0.3145973536981721,0.6734076631275269,0.01718822494149208
PROKR2,0.0171792134642601,0.3148511722295422,0.6736632041170947,0.0171792134642601
PCOLCE2,-0.017172424122691154,0.31504249061529144,0.6737633159218299,0.017172424122691154
PAH,-0.017168011516332626,0.31516687537832155,0.6737633159218299,0.017168011516332626
ITPRIPL1,0.01715903729200363,0.3154199448073405,0.6740167775819118,0.01715903729200363
PGA5,0.017147809267044067,0.31573675833266873,0.6744061790302656,0.017147809267044067
PTPRB,0.017141440883278847,0.3159165434772768,0.6744711401704357,0.017141440883278847
EVI2A,-0.0171371977776289,0.31603636741572205,0.6744711401704357,0.0171371977776289
DLX5,-0.0171157605946064,0.3166422024703593,0.6754168854795275,0.0171157605946064
GAS7,0.01711198128759861,0.31674908818137887,0.6754168854795275,0.01711198128759861
OR5V1,-0.017100004479289055,0.31708797049230986,0.6758519013768459,0.017100004479289055
BTN1A1,-0.017086729407310486,0.3174638646244484,0.6762687668255607,0.017086729407310486
D21S2088E,0.01708356663584709,0.317553464047205,0.6762687668255607,0.01708356663584709
LINC01150,0.017066461965441704,0.3180383162140987,0.6769897327569334,0.017066461965441704
LINC01525,-0.017062094062566757,0.3181622072725161,0.6769897327569334,0.017062094062566757
PCAT14,0.01705017313361168,0.3185004929294151,0.677421888823981,0.01705017313361168
RUNX3,-0.01703169010579586,0.31902545964666185,0.6782505635508793,0.01703169010579586
RPLP1P13,-0.017014138400554657,0.31952449811685196,0.6790234351414526,0.017014138400554657
PGR-AS1,-0.01700274460017681,0.31984872520858654,0.6794243162442675,0.01700274460017681
SLC35G5,0.016987241804599762,0.32029022501201726,0.6800738633623807,0.016987241804599762
LINC01776,0.016978317871689796,0.32054454772888774,0.6803255945232768,0.016978317871689796
GPR18,0.01695353165268898,0.321251620858278,0.6815376257920538,0.01695353165268898
LRP10,-0.016938066110014915,0.3216933198067041,0.6817762206551101,0.016938066110014915
EMP1,-0.016937842592597008,0.32169970641211126,0.6817762206551101,0.016937842592597008
LINC01682,-0.016935303807258606,0.3217722534123599,0.6817762206551101,0.016935303807258606
CFHR4,0.016920194029808044,0.3222042433161074,0.6824029853157287,0.016920194029808044
COL1A1,-0.01691167801618576,0.32244788351845205,0.6826304792188269,0.01691167801618576
ZNF474,-0.016905158758163452,0.32263447839815934,0.6827370655629968,0.016905158758163452
SUMO2P16,0.01688470132648945,0.32322047009985144,0.6836821343981059,0.01688470132648945
IL1R2,0.01688004471361637,0.3233539530080844,0.6836821343981059,0.01688004471361637
CNTF,-0.01686280034482479,0.3238485796243363,0.6844391533098056,0.01686280034482479
LRRTM4-AS1,-0.016849512234330177,0.32423006334870164,0.6849565124116122,0.016849512234330177
DRGX,0.016778985038399696,0.3262596981434256,0.6885399966955271,0.016778985038399696
RN7SL170P,-0.016778593882918358,0.3262709777991558,0.6885399966955271,0.016778593882918358
GPR151,0.016776250675320625,0.32633855361242803,0.6885399966955271,0.016776250675320625
SLC36A1,0.01674811728298664,0.32715060289687836,0.6899628245438794,0.01674811728298664
MUC16,-0.01673656702041626,0.32748437199846864,0.6903761834599605,0.01673656702041626
ANO4,-0.01672600582242012,0.3277897533050058,0.6905143842193242,0.01672600582242012
L3MBTL4-AS1,0.01672476902604103,0.32782552785028385,0.6905143842193242,0.01672476902604103
L3MBTL4,0.016715630888938904,0.32808992849349855,0.6906505333469074,0.016715630888938904
KCNIP1,0.01670878380537033,0.3282881309456287,0.6906505333469074,0.01670878380537033
GBP1,-0.01670808717608452,0.3283083006156158,0.6906505333469074,0.01670808717608452
MT-RNR1,-0.016703488305211067,0.32844147295264026,0.6906505333469074,0.016703488305211067
DLX1,0.016694972291588783,0.32868816884767077,0.6908299794620061,0.016694972291588783
CASC6,-0.01668757013976574,0.3289026953935192,0.6908299794620061,0.01668757013976574
UBE2Q2P11,0.016684511676430702,0.32899136117583055,0.6908299794620061,0.016684511676430702
ICAM2,-0.01668151468038559,0.32907826002311086,0.6908299794620061,0.01668151468038559
KCNE3,0.01666678488254547,0.3295055712714265,0.6913042748405014,0.01666678488254547
LINC01595,0.016661377623677254,0.32966252589870704,0.6913042748405014,0.016661377623677254
APOE,-0.016659464687108994,0.3297180636337654,0.6913042748405014,0.016659464687108994
C6orf141,-0.01665187068283558,0.32993859791542673,0.691477337580177,0.01665187068283558
DLX2,0.016646936535835266,0.3300819395587141,0.6914885447862527,0.016646936535835266
SIX6,-0.01662539876997471,0.3307081038756836,0.6925107850067073,0.01662539876997471
SAMD9L,0.016609512269496918,0.33117046176715076,0.6931892998810328,0.016609512269496918
KIRREL3,0.016594070941209793,0.33162026372353903,0.6938409776695842,0.016594070941209793
CMKLR1,-0.016584308817982674,0.33190483546194477,0.6941465486226231,0.016584308817982674
TEX45,0.016567792743444443,0.33238664801857254,0.6948642024284802,0.016567792743444443
PANX3,-0.016535336151719093,0.33333479778806535,0.6965557430008321,0.016535336151719093
STEAP1,-0.01648913323879242,0.3346875232262941,0.6990909457636347,0.01648913323879242
CASC16,0.0164751335978508,0.3350981007726121,0.6992930408776015,0.0164751335978508
AMPD3,-0.016469355672597885,0.3352676486534535,0.6992930408776015,0.016469355672597885
ALOX5,0.016469204798340797,0.3352720766589664,0.6992930408776015,0.016469204798340797
FAM151A,0.01646564155817032,0.33537666506726854,0.6992930408776015,0.01646564155817032
ZNF587P1,-0.01645035482943058,0.3358256002108911,0.6992930408776015,0.01645035482943058
PDGFA-DT,-0.01645035482943058,0.3358256002108911,0.6992930408776015,0.01645035482943058
LINC02224,0.016449153423309326,0.33586089905420985,0.6992930408776015,0.016449153423309326
HNF1A-AS1,0.016447799280285835,0.3359006883640764,0.6992930408776015,0.016447799280285835
CD8B,-0.016430994495749474,0.33639472220464817,0.6994800271138634,0.016430994495749474
NWD1,0.01642906293272972,0.3364515369993469,0.6994800271138634,0.01642906293272972
CSF2RB,0.016421010717749596,0.33668845048865265,0.6994800271138634,0.016421010717749596
GTF2IP23,0.016421010717749596,0.33668845048865265,0.6994800271138634,0.016421010717749596
HADHAP1,0.016421010717749596,0.33668845048865265,0.6994800271138634,0.016421010717749596
INSM1,-0.016385825350880623,0.33772493750111937,0.7004751471024885,0.016385825350880623
MPO,0.016384106129407883,0.3377756346085413,0.7004751471024885,0.016384106129407883
