gene,pearson_r_70d,pearson_r_115d
NRN1,0.13158120214939117,-0.042820800095796585
LRRC3B,-0.13154911994934082,-0.1351098269224167
PDE4B,-0.13146241009235382,-1.807045191526413e-05
PTCHD4,0.13141369819641113,-0.042964957654476166
DMRTA2,-0.13140219449996948,-0.1389962136745453
TUBA1B,0.1313503384590149,0.11825916171073914
PDLIM3,0.13085713982582092,0.17407426238059998
SMC4,-0.1307513564825058,-0.0001380518078804016
ADAMTS19,-0.13034281134605408,-0.08411607891321182
NHS,-0.1301494836807251,-0.03451024740934372
PPP2R2B,-0.13013680279254913,0.0009574368596076965
MOB3B,-0.12999726831912994,-0.17359527945518494
NFIB,-0.12972991168498993,0.14674100279808044
UNC5D,0.12970712780952454,-0.1628137230873108
RERE,-0.12944254279136658,-0.14737877249717712
ARX,-0.12943404912948608,-0.14836353063583374
MCTP1,0.12849777936935425,-0.025640076026320457
RSPO1,0.1283579021692276,-0.09154640138149261
ZFPM2,-0.12808942794799805,0.12094755470752716
SORCS2,0.12794774770736694,-0.08645240217447281
SOX6,-0.12755872309207916,-0.08139690011739731
TTYH1,0.12710067629814148,0.2640213370323181
PTPRN2,0.12702549993991852,-0.12466258555650711
ZBTB20,-0.126388281583786,-0.029991094022989273
NTNG2,0.12627214193344116,-0.11806144565343857
MSMO1,0.12605129182338715,0.020913485437631607
RUNX1T1,0.12597090005874634,-0.09266548603773117
NAV3,0.12539255619049072,-0.33121830224990845
CRYAB,-0.1252817064523697,-0.17631277441978455
SEMA3C,-0.12514087557792664,-0.10645844042301178
KIAA1217,-0.12397819757461548,-0.1862255483865738
PBK,-0.12367479503154755,0.0112665556371212
RPS5,0.12321269512176514,0.0761522725224495
AFF3,-0.12312252819538116,0.00615289993584156
ZFHX4,-0.12283969670534134,-0.3535488247871399
NCAPG,-0.12268532067537308,-0.02356366440653801
CDH12,-0.12260439991950989,-0.07679879665374756
NREP,-0.1225847452878952,-0.06407482177019119
TCF7L2-1,-0.12242493778467178,-0.10031546652317047
FOXG1,-0.12240332365036011,-0.2868959903717041
TMEM108,-0.12217533588409424,-0.23515383899211884
ZFP36L1,-0.12158367782831192,0.039854735136032104
ID4,-0.12143346667289734,0.0334559828042984
GRID2,0.12037345767021179,0.22393032908439636
SRGAP3,-0.12027906626462936,-0.163882315158844
CCND1,0.11975705623626709,0.16272425651550293
NEIL3,-0.11965997517108917,-0.025754572823643684
MEG3,0.11952222883701324,-0.15021614730358124
TMSB4X,0.1192951574921608,0.0780566930770874
PTPRM,-0.11905647069215775,-0.10671059787273407
MGAT4C,0.11790385842323303,-0.37678369879722595
RORA,-0.11785750836133957,-0.14654812216758728
RPL13A,0.1173693835735321,-0.028516221791505814
LINC01091,-0.11722087115049362,0.06847298890352249
PRICKLE2,-0.11721156537532806,-0.17457565665245056
SORCS1,0.11686725914478302,0.05038360878825188
LHX2,-0.11684517562389374,-0.25580745935440063
CELF2,-0.11626828461885452,-0.35771238803863525
VSTM2A,0.11624713242053986,0.012913099490106106
TENM4,-0.1162380799651146,-0.31599706411361694
DOK6,-0.11568789184093475,-0.1520128846168518
ID2,-0.1154945120215416,-0.019282212480902672
RSPO2,-0.11542840301990509,-0.08512898534536362
POU6F2,0.11502787470817566,-0.0631595253944397
HMGN3,-0.11482036858797073,0.003708253148943186
NEUROG2,-0.11456666886806488,-0.12992773950099945
DANT2,-0.11453507840633392,-0.19820284843444824
ZNF521,-0.11441954225301743,-0.0796525776386261
ANK3,0.11439692974090576,-0.18407383561134338
RPL3,0.1142427921295166,0.11792019009590149
BNIP3,-0.11293984204530716,0.14261193573474884
TCIM,-0.11212079226970673,-0.16404229402542114
DPP6,0.11205440014600754,0.16456715762615204
CTNND2,-0.11201600730419159,-0.030295535922050476
KALRN,-0.11196191608905792,-0.16894206404685974
PTPRK,-0.11170307546854019,-0.04493511840701103
RFC3,0.11148400604724884,0.11507758498191833
COL11A1,-0.11090993136167526,-0.2819089889526367
DELEC1,-0.11079534888267517,0.05734756961464882
DDAH2,-0.11046400666236877,0.0112646808847785
BCL11A,-0.10960572957992554,-0.18561622500419617
TMEM132C,-0.10946574807167053,-0.18170954287052155
SP8,-0.10907301306724548,-0.053825534880161285
NUCKS1,-0.10858451575040817,0.06043170019984245
IER2,-0.1083921566605568,0.024871306493878365
TMEM163,-0.10811734199523926,-0.31993263959884644
SOX3,-0.1078314483165741,-0.09660451114177704
DCT,-0.10735785961151123,-0.10101919621229172
CYP26A1,-0.10731220245361328,0.07210088521242142
MDK,-0.10729845613241196,-0.0062763928435742855
MORF4L2,-0.10658521205186844,-0.033174559473991394
LINC02306,0.10637280344963074,0.07106457650661469
LHX9,0.10593421012163162,-0.16436412930488586
NRG1-1,-0.1057904064655304,-0.2573002576828003
MBNL2,-0.10567769408226013,-0.11967114359140396
NPAS3,0.10550105571746826,0.09271308779716492
SORCS3,-0.1053413674235344,-0.10383989661931992
BCL11B,-0.10509967803955078,-0.09400268644094467
HS3ST4,-0.10469214618206024,0.016995666548609734
HMGB2,-0.10460977256298065,-0.019940262660384178
KIF15,-0.10445454716682434,0.0378655269742012
LIM2,-0.10442709922790527,0.0
CENPK,0.10435087978839874,0.14740252494812012
PGM5,-0.10429112613201141,0.03349624574184418
PBX1,-0.10414816439151764,-0.0687074139714241
TNFAIP8L1,-0.10407200455665588,-0.06061197444796562
ELP4,-0.10356710106134415,-0.1691056787967682
PDE1A,0.10308408737182617,0.06425448507070541
FABP5P1,0.10300324857234955,0.17920267581939697
HMGB3,-0.10294546186923981,0.06507416814565659
MIR325HG,0.10259337723255157,0.11779118329286575
RASSF9,-0.10251422226428986,0.05520916357636452
ACTG1,-0.10216940939426422,0.08974995464086533
LEF1,-0.10213479399681091,-0.10269557684659958
TPBG,-0.10190920531749725,-0.10392329096794128
MGST1,0.10185844451189041,0.36357152462005615
MAB21L1,0.10173753648996353,0.08011899888515472
HOPX,-0.10156051814556122,-0.12071041762828827
ENC1,-0.1006680354475975,-0.14788517355918884
DCC,0.10066041350364685,0.2952514588832855
STXBP5L,0.10055845975875854,0.10331608355045319
